solver_a,solver_b,split,scenario_id,scenario_key,timestamp_a,timestamp_b,signed_gap_a_minus_b,abs_gap
Hydrostatic,MUSCL-HR,train,scenario_000160,train:scenario_000160,0.17739559710025787,0.17737579345703125,1.9803643226623535e-05,1.9803643226623535e-05
Hydrostatic,MUSCL-HR,train,scenario_000161,train:scenario_000161,0.17746874690055847,0.1774677336215973,1.0132789611816406e-06,1.0132789611816406e-06
Hydrostatic,MUSCL-HR,train,scenario_000162,train:scenario_000162,0.17659854888916016,0.17643506824970245,0.00016348063945770264,0.00016348063945770264
Hydrostatic,MUSCL-HR,train,scenario_000163,train:scenario_000163,0.17746329307556152,0.17746111750602722,2.175569534301758e-06,2.175569534301758e-06
Hydrostatic,MUSCL-HR,train,scenario_000164,train:scenario_000164,0.17747336626052856,0.17747357487678528,-2.086162567138672e-07,2.086162567138672e-07
Hydrostatic,MUSCL-HR,train,scenario_000165,train:scenario_000165,0.17747190594673157,0.17747125029563904,6.556510925292969e-07,6.556510925292969e-07
Hydrostatic,MUSCL-HR,train,scenario_000166,train:scenario_000166,0.1774165779352188,0.17739877104759216,1.780688762664795e-05,1.780688762664795e-05
Hydrostatic,MUSCL-HR,train,scenario_000167,train:scenario_000167,0.17730934917926788,0.17727379500865936,3.555417060852051e-05,3.555417060852051e-05
Hydrostatic,MUSCL-HR,train,scenario_000168,train:scenario_000168,0.17738327383995056,0.17734698951244354,3.628432750701904e-05,3.628432750701904e-05
Hydrostatic,MUSCL-HR,train,scenario_000169,train:scenario_000169,0.17739170789718628,0.17736239731311798,2.931058406829834e-05,2.931058406829834e-05
Hydrostatic,MUSCL-HR,train,scenario_000170,train:scenario_000170,0.1774732619524002,0.17747308313846588,1.7881393432617188e-07,1.7881393432617188e-07
Hydrostatic,MUSCL-HR,train,scenario_000171,train:scenario_000171,0.17739543318748474,0.1773858219385147,9.611248970031738e-06,9.611248970031738e-06
Hydrostatic,MUSCL-HR,train,scenario_000172,train:scenario_000172,0.17742545902729034,0.17740924656391144,1.621246337890625e-05,1.621246337890625e-05
Hydrostatic,MUSCL-HR,train,scenario_000173,train:scenario_000173,0.17747798562049866,0.17747853696346283,-5.513429641723633e-07,5.513429641723633e-07
Hydrostatic,MUSCL-HR,train,scenario_000174,train:scenario_000174,0.17719951272010803,0.17710816860198975,9.134411811828613e-05,9.134411811828613e-05
Hydrostatic,MUSCL-HR,train,scenario_000175,train:scenario_000175,0.177473783493042,0.17747396230697632,-1.7881393432617188e-07,1.7881393432617188e-07
Hydrostatic,MUSCL-HR,train,scenario_000176,train:scenario_000176,0.17746871709823608,0.1774587631225586,9.953975677490234e-06,9.953975677490234e-06
Hydrostatic,MUSCL-HR,train,scenario_000177,train:scenario_000177,0.17731693387031555,0.1772809773683548,3.5956501960754395e-05,3.5956501960754395e-05
Hydrostatic,MUSCL-HR,train,scenario_000178,train:scenario_000178,0.17744538187980652,0.17744378745555878,1.5944242477416992e-06,1.5944242477416992e-06
Hydrostatic,MUSCL-HR,train,scenario_000179,train:scenario_000179,0.1773904412984848,0.17738740146160126,3.039836883544922e-06,3.039836883544922e-06
Hydrostatic,MUSCL-HR,train,scenario_000180,train:scenario_000180,0.17729060351848602,0.17727181315422058,1.8790364265441895e-05,1.8790364265441895e-05
Hydrostatic,MUSCL-HR,train,scenario_000181,train:scenario_000181,0.17728696763515472,0.17725519835948944,3.17692756652832e-05,3.17692756652832e-05
